94,630,3
371,420,8
201,458,7
315,993,10
93,688,14
162,908,16
152,481,20
216,612,0
326,559,8
212,712,14
265,932,14
82,614,0
387,702,15
215,572,9
132,803,9
379,897,11
263,887,1
345,616,4
303,460,8
145,918,2
280,799,19
250,665,1
244,400,19
239,620,5
274,555,18
217,684,19
103,719,4
136,806,10
138,569,17
113,408,9
184,538,2
130,603,20
272,471,5
272,544,5
339,642,19
184,947,0
364,417,11
391,416,13
282,491,5
313,441,6
180,970,16
127,637,16
342,515,11
77,509,20
397,551,10
293,774,1
360,644,17
366,831,4
365,993,14
245,725,6
64,971,9
68,739,17
215,596,17
266,476,6
248,602,5
120,613,7
210,547,8
364,853,16
72,502,1
144,789,10
117,523,19
314,513,20
323,496,18
306,754,13
187,884,1
179,472,13
301,590,10
83,562,15
227,859,9
150,680,6
178,741,20
75,691,18
306,491,20
300,697,2
274,1000,19
294,979,12
135,718,16
235,653,20
248,907,20
164,693,11
234,972,6
262,752,0
176,857,20
312,602,12
320,404,20
96,504,18
131,471,1
232,796,16
276,730,0
186,989,6
320,434,3
141,701,5
199,746,15
269,454,6
195,780,13
96,866,2
87,825,3
326,869,13
336,432,10
87,720,18
